 
****************************************
Report : cell
Design : mem_system
Version: B-2008.09-SP3
Date   : Thu Apr 21 02:19:07 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    p - parameterized
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
State[0]                  dff_216                         14.079000 h, n
U668                      AND2X2          gscl45nm        2.815800  
U669                      MUX2X1          gscl45nm        3.754400  
U670                      MUX2X1          gscl45nm        3.754400  
U671                      MUX2X1          gscl45nm        3.754400  
U672                      MUX2X1          gscl45nm        3.754400  
U673                      MUX2X1          gscl45nm        3.754400  
U674                      MUX2X1          gscl45nm        3.754400  
U675                      MUX2X1          gscl45nm        3.754400  
U676                      MUX2X1          gscl45nm        3.754400  
U677                      MUX2X1          gscl45nm        3.754400  
U678                      MUX2X1          gscl45nm        3.754400  
U679                      MUX2X1          gscl45nm        3.754400  
U680                      MUX2X1          gscl45nm        3.754400  
U681                      MUX2X1          gscl45nm        3.754400  
U682                      MUX2X1          gscl45nm        3.754400  
U683                      MUX2X1          gscl45nm        3.754400  
U684                      MUX2X1          gscl45nm        3.754400  
U685                      NAND3X1         gscl45nm        2.346500  
U686                      OAI21X1         gscl45nm        2.815800  
U687                      NOR3X1          gscl45nm        2.815800  
U688                      AOI21X1         gscl45nm        2.815800  
U689                      NOR3X1          gscl45nm        2.815800  
U690                      AOI21X1         gscl45nm        2.815800  
U691                      OAI21X1         gscl45nm        2.815800  
U692                      NOR3X1          gscl45nm        2.815800  
U693                      NOR2X1          gscl45nm        2.346500  
U694                      NAND2X1         gscl45nm        1.877200  
U695                      AND2X2          gscl45nm        2.815800  
U696                      NAND3X1         gscl45nm        2.346500  
U697                      NAND3X1         gscl45nm        2.346500  
U698                      XNOR2X1         gscl45nm        4.693000  
U699                      NAND3X1         gscl45nm        2.346500  
U700                      NOR2X1          gscl45nm        2.346500  
U701                      OAI21X1         gscl45nm        2.815800  
U702                      OAI21X1         gscl45nm        2.815800  
U703                      NOR3X1          gscl45nm        2.815800  
U704                      NAND2X1         gscl45nm        1.877200  
U705                      AOI21X1         gscl45nm        2.815800  
U706                      INVX2           gscl45nm        1.877200  
U707                      NAND2X1         gscl45nm        1.877200  
U708                      NOR2X1          gscl45nm        2.346500  
U709                      NAND2X1         gscl45nm        1.877200  
U710                      NAND2X1         gscl45nm        1.877200  
U711                      NAND2X1         gscl45nm        1.877200  
U712                      NAND2X1         gscl45nm        1.877200  
U713                      NAND2X1         gscl45nm        1.877200  
U714                      NAND2X1         gscl45nm        1.877200  
U715                      NAND2X1         gscl45nm        1.877200  
U716                      NAND2X1         gscl45nm        1.877200  
U717                      NAND2X1         gscl45nm        1.877200  
U718                      NAND2X1         gscl45nm        1.877200  
U719                      NAND2X1         gscl45nm        1.877200  
U720                      NAND2X1         gscl45nm        1.877200  
Victim                    dff_221                         11.732500 h, n
Victimway                 dff_220                         11.732500 h, n
